朱时茂	陈佩斯
孙毓敏	景荣庆
李小龙	丁佩
甄子丹	元奎
陈宝仪	罗乐林
陈垣	启功
周瑜	张飞
文七妹	毛泽东
平	郭玉昆
姚晨	王朔
范瑞娟	傅全香
蔡文姬	司马师
陈富杰	黄芳
关兴	关羽
郭台铭	郭台强
董祀	蔡邕
贾母	王熙凤
毛泽东	李敏
曾国藩	曾国荃
焦裕禄	焦守云
曹棘	曹徽
杨敏德	潘楚颖
翁端恩	璇
陈泰铭	蔡志明
林彪	叶群
道光	冯云山
廖伟志	廖镇汉
梁元帝	萧纪
梁醒波	罗艳卿
曹操	赵云
钱妙花	袁雪芬
陈嘉桓	叶准
宋江	宋清
赵瑞花	李艳芳
何超凤	何超仪
徐天红	尹桂芳
努尔哈赤	代善
希姆莱	海德里希
叶剑英	周恩来
蔡惠媚	蒋孝武
谭倩红	梁醒波
关海山	赵雅芝
高秀敏	范伟
郭德纲	于谦
王刚	郑艳东
杨颖	Angelababy
蔡少芬	刘銮雄
付辛博	井柏然
巧姐	贾母
邓婕	张国立
陈锦棠	梁醒波
谢虹雯	张君秋
王烁	王朔
黄希庭	郑涌
邱嘉雄	林月云
王晓临	李多奎
李慧芳	董少英
文章	梁实秋
大兵	奇志
孙墨佛	孙天牧
蒋孝章	蒋方良
林涵	朱丹
刘湘	刘文辉
林立果	叶群
顾顺章	钱壮飞
洪天照	洪金宝
公孙弘	董仲舒
卫青	平阳公主
侯宝林	郭启儒
杨秋玲	杨荣环
马冰如	马莉君
蔡畅	李富春
赵本山	沈阳
朱棣文	吉恩
孔太公	孔明
赵津生	范振钰
邓丽君	邓永佳
陈婉珍	何超云
姚冶诚	蒋介石
黄锦年	尹学香
赵飞燕	汉成帝
拿度	钟丽淇
刘少奇	王光美
唐高祖	李治
林立果	林彪
侯耀华	侯瓒
帕克	托尼
安贞焕	李惠媛
高宗武	陶希圣
成钧	赵启民
温志鹏	叶绍德
鲁迅	周作人
杨盼盼	翁美玲
黄药师	冯默风
福康安	康熙
梁醒波	杜十娘
毛新宇	刘滨
李娜	彭帅
张敬轩	关智斌
丫蛋	赵本山
曹锟	李纯
陈竹隐	朱自清
董海川	李存义
谢霆锋	谢贤
铁扇公主	牛魔王
嫘祖	昌意
曹彰	曹熊
梁醒波	麦炳荣
吴卓林	小龙女
陈凯歌	范冰冰
孙红雷	张黎
戴维	于文凤
曹操	太祖
任伯棠	钱妙花
雪艳琴	姜妙香
黄月山	李桂春
章小婉	范姜
曹操	枣据
赵云	孟凡贵
侯宝林	谢东
刘琮	刘备
徐德亮	郭德纲
王怡仁	蓝正龙
王夫人	王熙凤
黄秋生	蔡卓妍
李少春	李桂春
童芷苓	童葆苓
金庸	令狐冲
章子怡	王家卫
尚小云	杨荣环
大S	汪小菲
侯世宏	林月云
林淑如	郭台成
文章	侯耀文
许玮宁	阮经天
胡军	刘备
陈慧琳	王力宏
徐静斐	黎应图
宋江	花荣
詹姆斯	科比
王凡	莫科
诸葛瞻	诸葛亮
刘琮	蔡氏
孙权	周瑜
李鸿章	李瀚章
张立辰	潘天寿
梅葆玖	赵荣琛
甄洛	曹丕
甄妮	傅声
韦德	奥尼尔
韦小宝	双儿
侯宝林	黄仲华
陈小春	谢天华
孙和	平
谢逊	张无忌
曹贵康	张庆林
谢霆锋	狄波拉
郑洁	张宇
朱元璋	肖桂云
辛柏青	朱媛媛
陈水扁	吴淑珍
陆锦花	余彩琴
钱钟书	光绪
曹宇	曹操
任锐	邓颖超
尤三姐	贾珍
徐悲鸿	张道藩
邢峰	朱慧珍
谭正岩	谭孝曾
宋丹丹	赵玉吉
孙淳	傅丽莉
窦唯	王菲
曹操	张辽
李志民	耿飚
王军霞	赵本山
左小青	杜宪
关兴	诸葛亮
李开复	周韶宁
章子怡	顾长卫
田震	许巍
张靓颖	赵晨浩
李菁	郭德纲
陈文新	毛泽东
贾乃亮	李小璐
马福祥	徐世昌
吴思远	赵本山
王祖贤	齐秦
鲁迅	许广平
诸葛亮	贾玲
葛优	姚晨
曹操	曹冲
军	林立衡
詹咏然	李婷
袁祥仁	袁小田
钱均夫	钱学森
陶大宇	S
胡友松	李宗仁
洪晃	洪君彦
佟有为	马树春
卢汉	龙云
童芷苓	王正屏
陈锦棠	任剑辉
宋美英	陈逸飞
张艾嘉	徐志摩
唐韵	马世媛
鞠萍	刘伟
肖一	李谷一
侯佩岑	林月云
李小璐	贾乃亮
麦炳荣	李海泉
林月云	蔡贵照
赵本山	范伟
唐中宗	李裹儿
林彪	林立果
刘备	孙尚香
周亚夫	周勃
李兆会	李海仓
冯建吴	石鲁
闻一多	臧克家
彭帅	李娜
李世民	秦琼
阿峰	刘晓庆
冯异	刘秀
刘秉忠	郭守敬
曹节	刘协
周迅	李少红
罗嘉良	苏岩
邓丽君	郭孔丞
李泉	柯蓝
董氏	郭女王
曹茂	曹操
林冲	卢俊义
阮小七	宋江
英达	宋丹丹
粟裕	聂荣臻
谭元寿	谭正岩
贾琏	秋桐
吴佳尼	琼瑶
高旗	陈娟红
郭德纲	栾云平
谢振轩	谢霆锋
许晴	何晴
王映霞	郁达夫
鲍蕾	鲍莉
钱小豪	钱景峰
王贺	王政君
詹才芳	罗荣桓
何香凝	廖仲恺
女	陈非侬
钱谦益	柳如是
白岩松	朱宏钧
施闻	周嘉威
刘胤	刘曜
曹操	伏寿
王莽	王政君
宋丹丹	范伟
刘弗陵	霍光
赵飞燕	汉成帝
韩世忠	梁红玉
郑佩佩	原子鏸
康熙	张克帆
女	叶童
贾乃亮	李小璐
曹世才	曹二庚
贾珍	贾蓉
冯景兰	冯钟芸
刘永言	杨振宁
张道藩	蒋碧薇
郑艳东	王刚
凌宝儿	周文姬
史兰芽	李幼斌
端木蕻良	萧军
高英培	范振钰
那英	高峰
王宝强	马蓉
杨振宁	翁帆
傅彪	张秋芳
司马炎	左思
卢惠光	梅艳芳
孙玉奎	高德亮
汉景帝	汉文帝
后羿	嫦娥
蒋雯丽	濮方
毛泽东	陆昂
郭德纲	于谦
孔莹	申小梅
景海鹏	刘伯明
彭真	张洁清
张茜	倪震
李婷	孙甜甜
顺治	康熙
姜宁	刘春明
丁子高	杨千嬅
李多奎	龚云甫
钱逊	钱穆
刘宝瑞	郭全宝
阮玲玉	张达民
梅巧玲	吴菱仙
叶玉卿	叶志铭
徐玉兰	张小巧
张謇	张孝若
张飞	关羽
江世俊	江泽民
道光	曾国藩
赵本山	范伟
徐静蕾	黄立行
王谦祥	戴志诚
陶晶莹	李李仁
贾君	吴洁华
伏明霞	郭晶晶
郑涌	黄希庭
毛岸青	邵华
王烁	牛萌萌
马兰	严凤英
晏紫	李圣根
刘德华	洪金宝
汉献帝	曹操
大S	汪小菲
卫青	卫子夫
吕大临	吕大防
郭德纲	于谦
左小青	孙红雷
张三丰	殷素素
周恩来	陈琮英
胡文秀	刘胡兰
父	俞振飞
林立果	叶群
钱永健	钱学森
李菁	何云伟
刘雪涛	荀令香
李虎	李治
金友庄	高凌风
冯允庄	尹桂芳
刘德凯	刘雪华
欧弟	罗志祥
林立果	叶群
邓颖超	周恩来
李阳	李金
王玉	宋德全
舍甫琴科	克里斯蒂娜
李菁	郭德纲
元彪	杨紫琼
章子怡	汪峰
贾静雯	孙志浩
吕美荪	吕碧城
潘霜霜	舒淇
张学友	周星驰
蒋介石	张学良
孙权	孙亮
黄家强	叶世荣
胡适	胡传
袁术	袁绍
程小东	刘家良
孙尚香	刘备
关平	关羽
叶璇	张默
林建岳	Twins
郭全宝	郭启儒
曹休	曹操
军	曹操
李新兰	父
王文娟	徐玉兰
张飞	关羽
林立果	叶群
成昆	谢逊
荀令香	王同炎
卡拉	阿尔贝托
郑怀贤	贺顺定
张丹露	女
梁欢	英达
马千乘	秦良玉
林徽因	梁思成
李洪春	周信芳
傅莹	郝时远
冯弘	冯跋
汪精卫	冯玉祥
林如海	贾雨村
狄波拉	谢婷婷
马季	常佩业
光绪	梅兰芳
霍启刚	郭晶晶
马艳丽	郎昆
侯宝林	郭启儒
贾玲	诸葛亮
兰妃	慕容盛
景岗山	马葭
刘思齐	毛岸英
程思远	郑佩佩
郭翼青	程潜
刘翔	刘学根
公孙瓒	刘备
连震东	连横
张学良	于凤至
曹雪芹	董小宛
付兰	谢天笑
浦安修	黄庵岫
严华	周璇
周武王	周文王
乔冠华	毛泽东
刘氏	马英九
史润强	李凤兰
李宣捷	庄玉生
李小龙	李海泉
赵敏	小昭
商芳臣	竺水招
侯宝林	红线女
叶浅予	宗其香
钟月林	宋任穷
平	贾南风
何念慈	孙道存
刘育熙	刘北茂
耶律齐	武修文
李世民	程知节
曹操	袁绍
吕大钧	吕大忠
吴作人	萧淑芳
夫差	西施
陈金霞	魏东
王夫人	贾政
王采玉	宋美龄
宋青书	宋远桥
刘禅	刘备
宋承宪	黎明
孙中山	孙眉
冯玉祥	赵守钰
周景轩	张纯华
刘备	刘封
潘雨辰	侯勇
西施	谭倩红
江丰	彦涵
黄宣	黄昆
黄子容	郭守正
刘谦	王希怡
毛新宇	毛甜懿
夏姬	夏御叔
李兆基	徐子淇
吕丽萍	张博宇
陈师曾	潘天寿
黄俊钦	黄光裕
蒋介石	张学良
陶大宇	郭羡妮
金庸	徐志摩
林月云	蔡贵照
王文娟	陆锦花
周佳纳	周采茨
张东健	高小英
李逵	宋江
罗乐林	陈宝珠
大S	汪小菲
耶律齐	金庸
胡适	徐志摩
苑琼丹	林正英
张宁	周蜜
汉献帝	伏寿
黄健翔	李承鹏
林淑如	郭台铭
罗嘉良	陶经
任剑辉	吕布
孙权	周瑜
谢东	戴娆
陈少霖	时小福
范瑾	黄敬
郭晶晶	钟少珍
弘一法师	刘质平
曹云金	郭德纲
孙中山	陈其美
谢娜	张杰
庞伟	王义夫
钱钟书	辛笛
梅兰芳	毛世来
孙新	顾大嫂
韩信	吕后
夏明衡	夏明震
甘少苏	梁宗岱
刘亚男	王海川
古龙	郑月霞
荣剑尘	黄荣培
元彪	成龙
曾国藩	咸丰
郭可盈	陈锦鸿
陈冠希	杨永晴
徐峥	猪八戒
张卫健	张茜
王平	尚长荣
杨幂	刘恺威
许晋亨	何超琼
曹云金	李菁
薛蟠	薛姨妈
何庆魁	高秀敏
曹操	程昱
窦尔博	梁咏琪
林建岳	黎明
贾宝玉	王夫人
赵本山	高秀敏
王菲	窦家媛
赵炎	马季
何超云	Ponny
徐伯阳	蒋碧微
贾琏	王熙凤
赵本山	宋丹丹
曹丕	司马懿
谭倩红	罗艳卿
金珠	赵本山
魏莲芳	李少春
谭元寿	王平
徐帆	冯小刚
贾琏	尤氏
李娜	彭帅
张灵甫	王玉龄
蔡葆真	蔡儒楷
樊小纯	郎咸平
父	姬昌
刘秋宏	周洋
刘邦	韩信
小乔	大乔
鲁肃	军
费玉清	张菲
熊景斌	江钰源
戚雅仙	周信芳
西门庆	潘金莲
王莽	汉成帝
郭德纲	于谦
林正英	洪金宝
张萍	贾君
俞晴	雪村
姚怡琴	宋美龄
刘邦	吕后
毛顺生	毛泽东
李泳豪	杨思琦
周汝昌	贾母
霍元甲	武术家
许亚军	何晴
吴大维	李小龙
父	洪金宝
杜宪	陈道明
唐肃宗	李系
袁雪芬	徐天红
何音	黄志忠
郝克明	胡启立
邓颖超	周恩来
胡斐	福康安
尤二姐	香菱
吕瑞英	张桂凤
周慕莲	阳友鹤
陈宝珠	女
杨维	女
班彪	班昭
曹斯杰	郭晓玲
邓光荣	潘迎紫
刘少奇	刘伯承
毛泽东	毛泽覃
窦靖童	王菲
唐氏	荀衍
黄宏	宋丹丹
华	傅声
俞菊笙	俞步兰
孙权	刘基
奚啸伯	金少山
三毛	李宗盛
张琴秋	陈昌浩
白龙马	唐僧
粟惠宁	陈毅
阿忆	女
郭富城	熊黛林
高曙光	江珊
韦小宝	梁朝伟
吴承瑛	吴郁生
王新亭	刘伯承
果素瑛	程砚秋
贾乃亮	李小璐
武修文	武三娘
车晓	徐峥
贾珍	贾蓉
刘少奇	王光美
杨虎城	孔从洲
刘伯承	粟裕
洪欣	洪雁
周瑜	小乔
许志安	郑秀文
韩信	刘邦
郭嘉	张飞
黄日华	江丰
贾永婕	王兆杰
鲁肃	张丰毅
甘思和	吴法宪
刘德智	孙玉奎
张国荣	唐鹤德
孙穗华	孙治强
尹桂芳	戚雅仙
丫蛋	毛毛
杜宪	陈道明
张绣	曹操
沈从文	张兆和
李小龙	李海泉
恩格斯	马克思
林立果	叶群
桑兰	薛伟森
洪秀全	韦昌辉
姚鼐	管同
廖承志	经普椿
张末	张艺谋
钱永刚	钱学森
陈水扁	赵建铭
陈赓	邓颖超
徐玉兰	张桂凤
侯喜瑞	萧长华
林申	蒋梦婕
顾谦	周婧
林平之	岳灵珊
郑艳东	王刚
蔡明	郭达
言承旭	关颖
袁祥仁	袁日初
尹桂芳	范瑞娟
孙权	曹操
殷梨亭	杨不悔
吕良伟	吕善婷
洪金宝	成龙
贺子珍	毛泽东
刘表	张允
欧阳锋	小龙女
贾珍	贾蓉
唐鹤德	张国荣
江珊	高曙光
李宗伟	黄妙珠
吕布	董卓
小龙女	华山
程砚秋	言慧珠
房祖名	林凤娇
陈云	陈伟华
明成祖	明太祖
宣萱	方敏仪
史敏	李洁
邵华	毛岸青
曹茂	曹丕
袁绍	曹操
蓝妮	孙穗芬
徐靖雯	佘诗曼
平	吕布
许广平	周作人
杨淇	尹子维
余秋里	成钧
蒋雯丽	顾长卫
张莲觉	何东
杨步伟	赵元任
周佳纳	周信芳
康熙	周汤豪
诸葛亮	赵云
郭芙	金庸
周美青	秦厚修
柏安妮	罗美薇
杨小娟	吕良伟
梁启超	李蕙仙
曹睿	曹丕
张幼仪	徐志摩
郭德纲	曹云金
范冰冰	韩寒
梅兰芳	王蕙芳
莫声谷	张三丰
李甲	杜十娘
杨振铎	杨澄甫
谢霆锋	狄波拉
冯潇霆	赵盈
曹操	典韦
曹羲	曹真
黄志忠	何音
何晴	许晴
龚苏萍	张岚芳
邱嘉雄	蔡贵照
陈祚	张琳
张天爱	潘世亨
张光宇	钟灵
唐尧东	王洪礼
李逵	宋江
曹斯杰	郭台铭
李多奎	杨荣环
濮存昕	宛萍
康熙	傅娟
唐鉴军	王小华
巩俐	黄和祥
梁启超	王桂荃
孙尚香	刘备
李小龙	李香凝
韦昌辉	洪秀全
吴洁华	张萍
吴淑珍	陈致中
林月云	女
罗素	张天爱
艾莉丝	康康
成龙	元奎
庞伟	杜丽
梁朝伟	胡军
栾云平	李菁
张学友	罗美薇
高	朱玲玲
王凤卿	于连泉
谢道韫	王导
李根	何云伟
李兆楠	李兆基
胡军	小乔
粟惠宁	楚青
何爱榆	李小龙
完颜萍	武敦儒
吕婉柔	汪小菲
高圆圆	张国立
费孝通	孟吟
谭正岩	谭鑫培
陈永玲	贺玉钦
王力宏	郑允浩
唐义贞	陆定一
牛魔王	孙悟空
文章	薛福成
张洛君	红孩儿
宋祖英	女
赵胤胤	陈数
周迅	李亚鹏
袁术	刘备
关羽	刘备
陈建州	范玮琪
吕瑞英	徐玉兰
李小冉	王静
柳兰芳	申小梅
许地山	耿济之
毕彦君	陈晓旭
小S	蔡康永
贾玲	成龙
穆济波	刘伯坚
李裹儿	武崇训
郑经	郑成功
孙悟空	猪八戒
彭咏梧	江竹筠
向华强	向华胜
张桂凤	范瑞娟
萧红	玛丽
黄忠	曹操
任冰儿	任剑辉
林立果	叶群
李连杰	利智
李艳芳	范瑞娟
顾长卫	蒋雯丽
薄一波	薄熙永
唐杰忠	姜昆
李荣保	米思翰
刘永好	刘永行
钟懿	范姜
梁丹妮	明
于文凤	周星驰
杜月笙	杜美如
邓演达	李健生
曹真	曹睿
何云伟	高峰
吴奇隆	蔡少芬
谢东	侯宝林
曹冲	曹操
陈锦棠	任剑辉
曹休	曹操
卢晓	罗雪娟
侯世宏	林月云
毛岸青	毛泽东
陈婉珍	何超云
曹宪	曹操
赵晨浩	冯小刚
陈道明	冯远征
包拯	王晓凌
张雨生	张惠妹
康熙	傅娟
唐韵	马景涛
关索	关羽
郑中基	蔡卓妍
焦守云	焦裕禄
童葆苓	马彦祥
刘交	刘氏
郭全宝	郭启儒
李前宽	肖桂云
卢俊义	史文恭
唐义贞	陆定一
汉献帝	刘协
钱似莺	于素秋
邵氏	姜大卫
范承秀	范仲淹
徐悲鸿	吴作人
刘若英	五月天
马丽娟	赵一涵
徐阶	海瑞
郑小瑛	郑苏
于文凤	凌宝儿
苗人凤	南兰
蔡畅	李富春
高秀敏	赵本山
唐高宗	李世民
杨绍明	杨尚昆
叶智强	钟镇涛
陈幸妤	赵翊安
杜琪峰	韦家辉
林艾为	林心如
曾宝仪	小S
陈云	于若木
陈智超	曾庆瑛
曹操	曹仁
汪小菲	大S
吴文藻	梅贻琦
曾志伟	曾宝仪
成龙	邓丽君
高峰	于谦
金荷娜	权相宇
李逵	戴宗
戴忠桂	尹桂芳
谢贤	谢振轩
李秀成	陈玉成
郭台成	曹斯杰
陈道明	陈格
刘邦	吕雉
陈燕	肖智
马英九	马鹤凌
李世民	李恪
张居正	张简修
金吒	木吒
洪秀全	李秀成
马英九	同治
马英九	朱立伦
莉萨	杭天琪
黄汉伟	赵雅芝
张楠	赵芸蕾
李秀满	少女时代
霍启刚	霍英东
蔡康永	小S
郑伊健	梁咏琪
杨康	刘亦菲
徐兰沅	梅兰芳
希姆莱	海德里希
侯耀文	谢东
窦鹏	周迅
朱棣文	吉恩
林子祥	叶倩文
周星驰	凌宝儿
乔冠华	龚澎
曹宪	曹茂
霍英东	霍震霆
于冕	于谦
女	金孝渊
苗丰强	苗华斌
鲍叔牙	管仲
刘胤	刘熙
杨少华	牛成志
庾澄庆	伊能静
林立衡	张宁
大S	汪小菲
单廷	宋江
张志铭	黄秀虹
林徽因	梁思成
朱岚	陶勇
金吒	哪吒
洪天照	洪天明
熊明霞	王婉华
李嘉欣	许歧伯
宋远桥	宋青书
杨秀清	洪秀全
江欣燕	张卫健
白雪	孟丽君
任盈盈	令狐冲
郑伊健	蒙嘉慧
曹操	刘备
李惠媛	安贞焕
周禹侯	徐若瑄
毛泽东	邓小平
陈幸妤	陈水扁
曹操	谭孝曾
刘连玉	周麟阁
贾母	邢夫人
徐光宪	高小霞
郭沫若	于立群
吴佳尼	琼瑶
大兵	奇志
王文玉	何云伟
女	李裹儿
宋楚瑜	宋达
邢夫人	贾母
金晶	刘华瑶
毛泽东	孔东梅
吴彦祖	S
吕光	吕婆楼
刘海粟	傅雷
李丞责	谭佩丽
殷天正	殷素素
孙中山	容星桥
蓝正龙	仔仔
钟小江	刘若英
黄帝	嫘祖
曹操	程昱
常俊丽	汪荃珍
刘邦	吕雉
孙权	刘备
曾志伟	曾国祥
张宝全	王秋杨
陈大愚	陈佩斯
杨化然	庞君
毛泽覃	毛泽东
文章	冯小刚
刘备	诸葛亮
薛蟠	薛姨妈
曹操	司马懿
潘虹	米家山
何云伟	李嘉存
杜琪峰	韦家辉
蔡元培	蔡尚思
刘秀	冯异
樊枫	周韶华
班昭	班彪
赵晨浩	吴尊
刘备	关羽
张育汉	王怡仁
许晴	许亚军
任冰儿	任剑辉
王刚	郑艳东
李小婉	林申
李林	李四光
周正毅	杨恭如
女	于涛
陈幸妤	吴淑珍
刘宝瑞	郭启儒
刘永好	刘永言
杨采妮	邱韶智
皮晓萌	皮黔生
许冠文	许冠杰
卫长君	卫子夫
徐有贞	祝允明
容星桥	容闳
徐乃锦	蒋孝文
林月如	李逍遥
郑允浩	赵晨浩
孙红雷	姚晨
李立三	瞿秋白
潘长江	杨云
杨振宁	刘永行
王又宸	程继先
刘备	关羽
曾志	陶铸
陆如	白海
彭长健	女
曹操	袁绍
李苦禅	王明明
倪萍	牛群
胡明	薄一波
宋德珠	宋丹菊
曹冲	曹丕
黄依群	董柯娣
孙维世	任锐
周迅	王烁
黄帝	嫘祖
林立果	叶群
姜昆	唐杰忠
郭政鸿	滕丽名
钱钟书	杨绛
阎秋霞	白云鹏
萧红	端木蕻良
赵兵伟	牛淑贤
袁逢	袁绍
戴永革	张兴梅
聂荣臻	李天焕
周有光	张兆和
赵薇	章子怡
文章	梁宗岱
陈师曾	梁邦楚
洪天祥	洪天明
刘备	关平
蔡和森	向警予
张飞	赵云
范伟	赵本山
侯瓒	侯耀文
毛岸英	刘思齐
周成海	白静
哪吒	金吒
黄秋爽	张永刚
周令飞	周海婴
任剑辉	谭倩红
宋耀如	温秉忠
尚小云	袁世海
钱伟长	叶开沅
关正明	张君秋
李少春	张飞
孙策	孙绍
任剑辉	罗艳卿
林平之	岳不群
梅兰芳	龚云甫
罗美薇	张学友
胡适	陈独秀
朱茵	郭德纲
彭帅	李娜
范瑞娟	袁雪芬
希姆莱	希特勒
袁雪芬	张桂凤
向华胜	陈岚
冯小刚	张娣
瞿独伊	瞿秋白
蔡岳勋	周渝民
罗跃嘉	王丽丽
宋承宪	成宥利
王金龙	沈阳
李司棋	陈鸿烈
罗艳卿	冯宝宝
侯宝林	郭全宝
吕布	貂蝉
严凤英	丁是娥
蒋孝勇	蒋友青
刘翔	史冬鹏
钱学森	钱均夫
任剑辉	梁醒波
毛岸青	刘思齐
史慧颖	徐展
孙志浩	贾静雯
叶群	林豆豆
五月天	玛莎
向华强	陈泰铭
毛泽民	毛远新
霍光	刘弗陵
胡和生	谷超豪
丁一岚	邓拓
潘蔚	孙楠
董仲舒	汉武帝
杜鹃	薛觉先
任剑辉	罗艳卿
希姆莱	希特勒
杨秀清	韦昌辉
刘伟	戴志诚
袁小田	成龙
王美怡	王馨平
李亚男	王祖蓝
谢晖	佟晨洁
李素娟	李嘉诚
章含之	洪晃
马季	郭全宝
杨小娟	吕善婷
杨进明	李云杰
张庆林	赵玉芳
袁和平	袁振威
陈燕琳	李保田
余德琳	许志安
曹昂	曹操
张栩	林海峰
刘邦	韩信
黄心琳	刘谦
李小龙	丁佩
陆定一	陆瑞君
毛泽覃	毛泽东
凌宝儿	周星霞
刘处玄	丘处机
黄志忠	何音
秦日纲	李秀成
朱志尧	光绪
惠英红	吴镇宇
荀彧	曹操
马建忠	马相伯
陈雨昂	陈凯歌
张闾瑛	张学良
翁家明	俞小凡
裘桂仙	金秀山
黎兵	甘萍
曹云金	女
钱玄同	周作人
汤唯	田雨
杨惠妍	杨国强
史敏	刘桂娟
诸葛亮	马良
朱时茂	范旭霞
郭台铭	郭台成
毛新宇	毛甜懿
筱文滨	小筱月珍
霍英东	霍震宇
季承	季老
邱韶智	杨采妮
王祥	朱氏
成龙	洪金宝
毛泽民	毛泽建
陆雪琪	张小凡
郭可盈	林文龙
陈锦棠	麦炳荣
魏东	陈金霞
李永波	女
竺水招	竺小招
李世民	程咬金
许冠武	许冠英
章含之	洪晃
赵薇	刘亦菲
赵炎	戴志诚
孙权	孙亮
董昭	董访
黄晓明	周杰伦
赵晨浩	王朔
萧乾	巴金
关兴	诸葛亮
彭德怀	聂荣臻
田亮	周继红
刘滨	毛新宇
张学良	周恩来
侯耀文	谢东
谭元寿	谭富英
司马懿	曹爽
骆玉笙	白凤鸣
徐庶	刘备
姜昆	冯巩
田雨	汤唯
沈殿霞	吴卓羲
廖静文	吴作人
张无忌	金花婆婆
姚水娟	竺水招
侯宝林	刘宝瑞
陈岚	向华胜
冉莹颖	邹市明
傅全香	吕瑞英
宋子文	罗斯福
朱德	罗炳辉
牛魔王	铁扇公主
孔令华	李敏
刘备	关羽
林青霞	三毛
金日成	金正淑
卫诗	关楚耀
牛魔王	女
拖雷	成吉思汗
陈松伶	张铎
葛福鸿	蔡依伦
邓丽君	郭孔丞
桂宝芬	袁凤霞
关海山	吴孟达
霍英东	霍启刚
灰娃	张仃
曾志	曾志伟
刘德一	李洁
魏骏杰	郭政鸿
秦始皇	扶苏
章亚若	蒋孝慈
张三丰	谢逊
余思敏	郑中基
张国荣	许冠杰
言慧珠	梅兰芳
俞岱岩	张翠山
阮星竹	段正淳
张嗣修	张静修
濮存昕	宛萍
田亮	田欣仪
郑艳东	王刚
陈香梅	陈纳德
霍元甲	霍恩第
霍启仁	朱玲玲
徐悲鸿	女
张国荣	唐鹤德
光绪	张謇
田亮	叶一茜
林瑞阳	张庭
李嫣	王菲
温秉忠	宋耀如
袁绍	袁谭
周恩来	邓颖超
赵本山	宋丹丹
侯喜瑞	大元
赵一荻	张学良
何念慈	张琼玲
荀彧	曹操
赵砚奎	张长林
陆锦娟	余彩琴
马志明	马敬伯
古晨	孙悦
曹植	曹操
英如镝	英达
杨月英	筱文滨
吴宗宪	方文山
张继科	刘诗雯
李小双	李大双
罗景民	张洁雯
赵本山	赵一楠
成龙	元华
彭发	詹姆斯
杨振宁	杜致礼
徐宗汉	孙中山
林彪	叶群
毛泽东	毛甜懿
李菁	郭德纲
沈俊言	庄泳
女	古巨基
马如龙	马思聪
李铭顺	范文芳
李小龙	李振辉
李安卓	萧亚轩
曹霖	曹髦
元彪	成龙
余叔岩	言少朋
方敏仪	罗嘉良
林如海	贾雨村
贾雨村	甄士隐
张翠山	殷素素
马淑华	孙桂荣
荣剑尘	石慧儒
李恪	李世民
龚普生	章汉夫
吴孟达	赵本山
刘邦	刘濞
丁至云	程砚秋
袁茵	杨蕾
刘半农	沈兼士
李彩桦	王傲山
木谷实	武宫正树
杜宪	陈格
齐心	荀彧
汉武帝	董仲舒
刘伯承	刘少奇
刘相韬	张丹
薛凤池	娄廷玉
陈肖霞	童辉
曾宝仪	大S
顾颉刚	邓之诚
蓝妮	孙穗芬
毛泽覃	贺子珍
李佩红	李焕弟
刘姥姥	王狗儿
刘忻	付梦妮
张小巧	傅全香
朱茵	吴奇隆
林徽因	梁启超
李伯清	罗世忠
袁咏仪	张智霖
关兴	关羽
周杰伦	侯佩岑
言菊朋	高庆奎
孙虑	孙权
于连泉	李多奎
丁一岚	邓拓
阮籍	刘伶
女	张洁雯
贾惜春	贾珍
武松	盖叫天
周汝昌	贾母
叶璇	胡杏儿
韩信	萧何
李湘	王岳伦
陈国熹	叶童
俞小凡	翁家明
毛泽民	毛远新
侯宝林	郭启儒
鲁迅	马裕藻
潘粤明	董洁
赵云	张飞
杜致礼	女
戈薇	犬夜叉
林文龙	米雪
陶虹	徐峥
潘长江	杨云
袁雪芬	徐玉兰
朱玲玲	霍启仁
何超琼	许晋亨
虚竹	叶二娘
徐玉兰	张桂凤
宋德珠	阎岚秋
梁醒波	陈锦棠
曹锟	王占元
徐峥	陶虹
武钟谦	朱自清
李秀满	李顺圭
李敏	吕厚超
陈小春	应采儿
赵薇	曹操
刘国正	芦璐
陆健健	陆德
杜审言	杜甫
彭咏梧	江竹筠
陈水扁	邱义仁
曾馨莹	郭台铭
杨振铎	杨澄甫
柳亚子	何香凝
罗微	李来
吕大防	吕大临
成龙	元奎
刘涛	贾玲
洪金宝	成龙
丁是娥	俞振飞
刘邦	吕雉
李桂春	徐兰沅
陈丽达	陈佩斯
陈小春	郑伊健
刘骜	王政君
刘永行	刘永好
曾明娜	赖昌星
伏明霞	于芬
李泽楷	梁洛施
曾慕雪	阮兆辉
杨成武	杨得志
刘邦	吕雉
赵宏博	申雪
胡思杜	胡适
陈英雪	古巨基
何超琼	许晋亨
包玉刚	包陪庆
房仕胜	房仕德
戴志诚	袁茵
朱安	许广平
郑怀贤	贺顺定
李泉	柯蓝
黄秋生	赵晨浩
李伯祥	王学义
海岩	袁立
翁家明	俞小凡
大乔	乔国老
赵炎	刘伟
郭晓玲	郭台铭
蔡畅	李富春
毛泽东	孔东梅
俞敏洪	郭台铭
戴永革	张兴梅
高峰	林志玲
张爱玲	赖雅
陈晓旭	林黛玉
何超云	Ponny
任剑辉	梁醒波
冯云山	洪秀全
贾珍	贾琏
韦莲司	胡适
梁醒波	陈锦棠
曾文惠	李登辉
周文游	殷文硕
姚笛	王熙凤
王继曾	王世襄
